SKU,ISBN,Format,Author,Publisher,PublicationDate,Title,Pages,Edition,DimsHeight,DimsWidth,DimsLength,DimsWeight,Language,ItemDescription,Binding,Condition,Price,Quantity,ImageUrl,category,subcategory
751855,9782253004011,Mass Market Paperback,"Choderlos de Laclos","Le Livre de poche",01/08/1981 00:00:00,"Les liaisons dangereuses (751855)",480,,24,112,172,381,,,Mass Market Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_807967_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Classic Fiction (Pre C 1945)"
751906,9781843532743,Paperback,"Paul Gray","APA Publications",28/10/2004 00:00:00,"The Rough Guide to Thailand's Beaches and Islands (751906)",512,,26,126,196,440,,,Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_363238_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Travel & Holiday"
751962,9780671794262,Mass Market Paperback,"Carmen Carter","Simon & Schuster",01/02/1994 00:00:00,"Star Trek - the Next Generation: Devil's Heart (751962)",317,,25,96,165,146,,"An archaeological outpost has suddenly stopped responding to repeated outside requests for information. When the ""Enterprise"" crew is sent to look into the matter they discover a devastated outpost and a dying scientist whose last words are: ""The devil's heart has been found"".",Mass Market Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_319107_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Science Fiction"
752001,9780744503067,Paperback,"Patrick Burston","Walker Books Ltd",10/10/1985 00:00:00,"The Jungle of Peril (752001)",48,,10,223,266,454,,,Paperback,Used; Good,90.66,1,,"General",""
752103,9780006541943,Paperback,"Francesca Duranti","HarperCollins Publishers",11/02/1988 00:00:00,"The House on Moon Lake (752103)",192,,12,128,194,172,,"Fabrizio Garrone is an impoverished aristocrat who makes his living through translating and whose cautious existence is marked by his inability to give his heart to anything - not his best friend not his mistress not even his own life. This book won the Bugatta Prize.",Paperback,Used; Good,3.49,1,,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
752164,9781408702338,Paperback,"Patricia Cornwell","Little Brown Book Group",28/10/2010 00:00:00,"Port Mortuary (752164)",512,,36,158,232,676,,"The latest blockbuster in the bestselling Kay Scarpetta series",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_190389_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Crime & Mystery"
752314,9781859741856,Hardcover,"Mariapaola Dettore","New Holland Publishers Ltd",01/06/1999 00:00:00,"Sicily (Flavours of Italy) (752314)",128,,16,206,230,660,,,Hardcover,Used; Good,8.49,1,,"General",""
752322,9780948238116,Paperback,"Kyril Bonfiglioli","Black Spring Press Ltd",14/02/1991 00:00:00,"The Mortdecai Trilogy (752322)",544,,42,130,194,381,,,Paperback,Used; Good,19.38,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_84024_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
752563,9781405310840,Paperback,"DK Publishing","Dorling Kindersley Ltd",26/01/2006 00:00:00,"DK Eyewitness Ireland (752563)",416,,28,132,214,648,,"Using the unique 3D models and cutaways this work explores the spectacular scenery of Killarney to the castles of Donegal and Kilkenny and includes tips on where to find the best Ulster Fry and the tastiest Guiness.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_258838_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Travel & Holiday"
752669,9780749306090,Mass Market Paperback,"Wilbur Smith","Cornerstone",05/11/1992 00:00:00,"A Falcon Flies (752669)",720,,46,114,174,407,,"Set on a trader on the South Atlantic on the fever-ridden shores of the Indian Ocean and in the Eden of the unexplored interior of Africa this wide-sweeping novel describes the Ballantyne family's first conquest of the untamed land of Africa.",Mass Market Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_331977_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Thriller / Suspense"
752785,9780330474252,Paperback,"Brian Reade","Pan Macmillan",15/05/2009 00:00:00,"44 Years with the Same Bird (752785)",336,,22,132,196,227,,"The story of a footballing love affair",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_263588_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Biography:Biography: General"
752847,9780583129923,Paperback,"Sheila Hutchins","Mayflower",01/11/1979 00:00:00,"Grannie's Kitchen - Recipes from The North East of England (752847)",160,,15,111,172,113,,,Paperback,Used; Good,28.21,1,,"General",""
752938,9780007126125,Hardcover,"Dylan Evans","HarperCollins Publishers",20/01/2003 00:00:00,"Placebo (752938)",240,,28,166,231,407,,"A lucid and stimulating explanation of how the body's natural healing mechanisms work - and how they can be triggered in non-chemical ways via the ""placebo effect"". Evans exposes the flaws in research into the placebo effect and reveals the limits of what can and cannot be cured by thought alone.",Hardcover,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_534929_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Health Family & Lifestyle:Family & Health"
752986,9782070360345,Paperback,"Andre Gide","Gallimard",01/01/1980 00:00:00,"Les caves du Vatican (752986)",250,,19,109,177,157,,,Paperback,Used; Good,3.49,1,,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
753093,9780227678688,Paperback,"Lionel Smithett Lewis","James Clarke & Co Ltd",,"St.Joseph of Arimathea at Glastonbury (753093)",212,,12,134,213,159,,,Paperback,Used; Good,19.47,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_577124_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"General",""
753106,9780263850376,Paperback,"Diane Chamberlain","HarperCollins Publishers",20/01/2006 00:00:00,"The Bay at Midnight (753106)",416,,26,118,194,278,,,Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_248537_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Romance"
753144,9780192861986,Paperback,"Roger Penrose","Oxford University Press",04/03/1999 00:00:00,"The Emperor's New Mind (753144)",640,,40,130,196,469,,"In his bestselling work of popular science Sir Roger Penrose takes us on a fascinating roller-coaster ride through the basic principles of physics cosmology mathematics and philosophy to show that human thinking can never be emulated by a machine.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_252708_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Science Nature & Maths:Science: General Issues"
753164,9780330526760,Paperback,"Valerio Massimo Manfredi",,01/01/2005 00:00:00,"Tyrant (753164)",403,,32,110,176,241,,,Paperback,Used; Good,3.49,1,,"General",""
753274,9781840003734,Paperback,"Caroline Behr","Octopus Publishing Group",16/08/2001 00:00:00,"Miller's Costume Jewellery (753274)",64,,8,144,208,175,,"Aimed at the new collector this guide takes a look at the leading styles of costume jewellery of the 19th and 20th centuries from Victoriana to Art Nouveau Art Deco and designers such as Trifari Heskell and Dior up to 1980s Chanel. Price ranges are also covered.",Paperback,Used; Good,5.06,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_171610_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Antiques & Collectables"
753292,9780747526223,Hardcover,"Daniel Goleman","Bloomsbury Publishing PLC",11/01/1996 00:00:00,"Emotional Intelligence (753292)",367,,40,160,232,759,,"This study argues that ""emotional intelligence"" is more important than a high IQ in terms of how one performs in life. It claims that qualities such as impulse control persistence zeal self-motivation empathy and social deftness are the characteristics of people who excel.",Hardcover,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_117360_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Health Family & Lifestyle:Self-Help & Personal Development"
