SKU,ISBN,Format,Author,Publisher,PublicationDate,Title,Pages,Edition,DimsHeight,DimsWidth,DimsLength,DimsWeight,Language,ItemDescription,Binding,Condition,Price,Quantity,ImageUrl,category,subcategory
642656,9781853261862,Paperback,"Rex Collings","Wordsworth Editions Ltd",3/4/1996 12:00:00 AM,"Classic Victorian and Edwardian Ghost Stories (642656)",304,,12,124,195,204,,"A selection of ghost stories.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_449603_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Horror & Ghost Stories"
642660,9780590559041,Paperback,"David Belbin","Scholastic",4/21/1995 12:00:00 AM,"Missing Person (642660)",240,,17,114,172,136,,"The Beat is a crime series set in an inner city police station. 15-year-old Hannah Brown is missing just another teenage runaway. Or is she? Only PC Clare Coppola working on her first police case is convinced that this isn't just another routine case.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_203659_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
642714,9780747571469,Paperback,"Sally Grindley","Bloomsbury Publishing PLC",6/6/2005 12:00:00 AM,"Spilled Water (642714)",224,,16,130,194,185,,"A powerful drama set in modern-day China. Winner of the 2004 Gold Smarties Award",Paperback,Used; Good,3.49,3,http://choicetextileimages.blob.core.windows.net/img-1/stand_348501_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
642783,9781853454899,Paperback,"Andy Robb","CWR",11/13/2008 12:00:00 AM,"50 Weirdest Bible Stories (642783)",112,,8,128,197,205,,"Floating hands writing on walls a voice coming from a fire-resistant bush people being brought back to life ... Each story has a cliffhanger ending - and one or two Bible verses to look up to find out what happened next.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_465541_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage: General Non-Fiction"
642867,9781857978131,Paperback,"Campbell Ffyona","Orion Publishing Co",6/5/1995 12:00:00 AM,"On Foot Through Africa (642867)",352,,30,109,175,270,,"When Ffyona Campbell vowed to walk around the world she was only sixteen. By far the hardest stage of this incredible journey was Africa which she completed in September 1993. This is a personal account of her achievement.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_158141_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Travel & Holiday"
642887,9780752875453,Hardcover,"Erica James","Orion Publishing Co",2/19/2009 12:00:00 AM,"It's The Little Things (642887)",368,,36,154,238,625,,"A gripping novel about how friendships survive the best and worst of times from the bestselling author of TELL IT TO THE SKIES.",Hardcover,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_640934_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
642916,9780330253246,Paperback,"Colin Forbes","Pan Macmillan",9/13/1996 12:00:00 AM,"Avalanche Express (642916)",464,,20,109,172,240,,"When the Atlantic Express heads north from Milan Central it has on board the most important Russian ever to leave the Soviet Union. An armed team of British and Americans are on board to protect him little knowing that an avalanche has been deliberately triggered to destroy the entire train.",Paperback,Used; Good,3.49,3,http://choicetextileimages.blob.core.windows.net/img-1/stand_260882_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Thriller / Suspense"
642922,9780099415374,Paperback,"Douglas Kennedy","Cornerstone",9/5/2002 12:00:00 AM,"The Pursuit Of Happiness (642922)",656,,46,130,192,447,,"As the party gets into full swing in walks Jack Malone a US Army journalist back from a defeated Germany and a man unlike any Sara has ever met before - one who is destined to change Sara's future forever.<br />  <br />  But finding love isn't the same as finding happiness - as Sara and Jack soon find out.",Paperback,Used; Good,3.49,5,http://choicetextileimages.blob.core.windows.net/img-1/stand_220762_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
642923,9780006344643,Paperback,"Gerald Durrell","HarperCollins Publishers",7/30/1979 12:00:00 AM,"Fillets of Plaice (642923)",189,,15,101,172,115,,,Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_199779_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Natural History"
711474,9780340687512,Paperback,"L J Smith","Hachette Children's Group",3/19/1997 12:00:00 AM,"Secret Vampire (711474)",240,,20,110,174,137,,"A fantastic new look for the bestselling Night World series - gripping stories of horror and romance about a secret world of vampires werewolves witches and creatures of darkness. Poppy is dying. Her best friend James can offer her eternal life - but as a vampire ...",Paperback,Used; Good,4.85,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_62436_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
711602,9780241952122,Paperback,"Chris Kuzneski","Penguin Books Ltd",9/30/2010 12:00:00 AM,"The Secret Crown (711602)",480,,32,128,196,318,,"Bavaria 1886 King Ludwig II infamous for his eccentric behavior is declared insane by his government and removed from his throne. A day later Ludwig's corpse washes up in the shallows of Lake Starnberg. Rumours about the cause of the tragedy abound but few people know why Ludwig was really killed. Or what secret was silenced by his death.",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_111188_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Thriller / Suspense"
