sku,status,error
"640517","success",""
"695712","success",""
"738728","success",""
"904312","success",""
"952201","success",""
"1073086","success",""
"1103445","success",""
"1169421","success",""
"1331027","success",""
"1543857","success",""
"1760956","success",""
"2532786","success",""
"2857297","success",""
"3023394","success",""
"683249","success",""
"710525","success",""
"747720","success",""
"816910","success",""
"922580","success",""
"1028899","success",""
"1058701","success",""
"1142037","success",""
"1400113","success",""
"1482652","success",""
"1499752","success",""
"2002831","success",""
"2428100","success",""
"2829501","success",""
"696693","success",""
"763908","success",""
"1012200","success",""
"1734192","success",""
"1829994","success",""
"1853213","success",""
"1921020","success",""
"2520172","success",""
"2601795","success",""
"2683779","success",""
"2823146","success",""
"3157118","success",""
"3283623","success",""
"684284","success",""
"690519","success",""
"769961","success",""
"793722","success",""
"802879","success",""
"852621","success",""
"871126","success",""
"907085","success",""
"1308291","success",""
"1776327","success",""
"2082099","success",""
"2665131","success",""
"2970046","success",""
"3085325","success",""
"747447","success",""
"749126","success",""
"817328","success",""
"829314","success",""
"873531","success",""
"929479","success",""
"982750","success",""
"1009631","success",""
"1017543","success",""
"1053909","success",""
"1106675","success",""
"1187667","success",""
"1380498","success",""
"688596","success",""
"1215381","success",""
"1561844","success",""
"1615871","success",""
"1991095","success",""
"2403835","success",""
"2700336","success",""
"3039095","success",""
"3065482","success",""
"3085054","success",""
"3187343","success",""
"3357379","success",""
"3458542","success",""
"3462145","success",""
"670363","success",""
"674244","success",""
"674672","success",""
"784456","success",""
"799898","success",""
"801669","success",""
"829316","success",""
"938174","success",""
"983383","success",""
"986021","success",""
"998327","success",""
"1179092","success",""
"1275675","success",""
"1664637","success",""
"4364721","success",""
"4364735","success",""
"4364743","success",""
"1761364","success",""
"1839077","success",""
"2009913","success",""
"2055486","success",""
"2545331","success",""
"2889306","success",""
"3088574","success",""
"3225931","success",""
"3297650","success",""
"3361069","success",""
"3573595","success",""
"4364705","success",""
"4364706","success",""
"4364716","success",""
"3390098","success",""
"3516694","success",""
"3546454","success",""
"3804929","success",""
"4364709","success",""
"4364713","success",""
"4364715","success",""
"4364719","success",""
"4364732","success",""
"3148305","success",""
"3172902","success",""
"3338720","success",""
"4364699","success",""
"4364711","success",""
"4364749","success",""
"4364750","success",""
"1763204","success",""
"1823128","success",""
"1979247","success",""
"3105021","success",""
"3178089","success",""
"3295268","success",""
"3319215","success",""
"3473702","success",""
"3495682","success",""
"4364698","success",""
"4364736","success",""
"4364739","success",""
"4364742","success",""
"4364744","success",""
"3258993","success",""
"3392451","success",""
"3437327","success",""
"3528094","success",""
"4364707","success",""
"4364712","success",""
"4364717","success",""
"4364718","success",""
"4364731","success",""
"4364733","success",""
"4364734","success",""
"4364746","success",""
"4364752","success",""
"4364702","success",""
"4364708","success",""
"4364714","success",""
"4364720","success",""
"4364725","success",""
"4364726","success",""
"4364737","success",""
"4364745","success",""
"4364751","success",""
"655277","success",""
"793214","success",""
"826527","success",""
"828326","success",""
"1005851","success",""
"1088169","success",""
"1089904","success",""
"1408917","success",""
"1535281","success",""
"1781855","success",""
"1866255","success",""
"1923592","success",""
"2467563","success",""
"2637882","success",""
"2667076","success",""
"3098008","success",""
"3143775","success",""
"3173273","success",""
"3217288","success",""
"3295190","success",""
"3435206","success",""
"3466566","success",""
"3550760","success",""
"4364703","success",""
"4364710","success",""
"4364741","success",""
"4364747","success",""
