sku,quantity,price
1200632,,4.10
1880443,,5.64
2672973,,6.74
3055440,3,
3481159,,3.67
3659889,0,
3663441,0,
3665689,0,
3671369,0,
3672192,0,
3680608,0,
3713880,0,
3720844,0,
3723187,0,
3733655,0,
3739663,2,
3740173,,15.87
3740379,0,
3763581,0,
3788992,0,
3812165,0,
3832945,0,
3847113,0,
3854652,0,
3855760,0,
3856568,0,
3862945,0,
3915750,,3.70
4169870,,50.06
4234915,,69.55
4276958,,8.59
4287172,,4.23
4320510,,5.88
4322800,,10.06
4337047,,5.47
4364554,,12.41
4367007,,8.01
638877,10,
643116,2,
787267,,3.49
